title,author,series,publisher,year_published,genre,votes,awards,average_rating,rating_count,review_count,five_star_ratings,four_star_ratings,three_star_ratings,two_star_ratings,one_star_ratings
"Fullmetal Alchemist (3-in-1 Edition), Vol. 1","['Hiromu Arakawa', ' Akira Watanabe']",(Fullmetal Alchemist: Omnibus #1),VIZ Media LLC,2002,"['Sequential Art-Manga', 'Fantasy', 'Sequential Art-Graphic Novels', 'Sequential Art-Comics']","[501, 105, 69, 43]",['No awards'],4.6,6033,292,4229,1330,361,62,51
Οι έμποροι των εθνών,"['Alexandros Papadiamantis', ' Αλέξανδρος Παπαδιαμάντης']",Standalone,Βιβλιοπωλείον της Εστίας,1882,['Historical-Historical Fiction'],[3],['No awards'],4.09,224,10,81,93,42,5,3
The Return of The Soldier,"['Rebecca West', ' Sadie Jones']",Standalone,Virago,1918,"['Classics', 'Fiction', 'Historical-Historical Fiction', 'War', 'War-World War I']","[245, 234, 108, 94, 69]",['No awards'],3.7,5274,613,1121,2053,1583,435,82
The Black Unicorn: Poems,['Audre Lorde'],Standalone,W. W. Norton  Company,1978,"['Poetry', 'Feminism', 'LGBT', 'Race', 'GLBT-Queer', 'Cultural-African American']","[605, 60, 33, 17, 17, 15]",['No awards'],4.34,1594,122,845,515,179,43,12
The Innocents Abroad,"['Mark Twain', ' Grover Gardner']",Standalone,Modern Library,1869,"['Travel', 'Classics', 'Nonfiction', 'Humor']","[448, 437, 253, 161]",['No awards'],3.86,11056,941,3191,4256,2714,675,220
Wastelands: Stories of the Apocalypse (Wastelands #1),"['John Joseph Adams', ' Cory Doctorow', ' George R.R. Martin', ' Carol Emshwiller', ' Jonathan Lethem', ' Octavia E. Butler', ' Stephen King', ' Gene Wolfe', ' Orson Scott Card', ' Paolo Bacigalupi', ' M. Rickert']",Standalone,Night Shade,2007,"['Short Stories', 'Science Fiction', 'Apocalyptic-Post Apocalyptic', 'Fiction', 'Horror', 'Anthologies']","[325, 305, 252, 231, 187, 144]",['Locus Award Nominee for Best Anthology (2009)'],3.77,9064,777,2126,3577,2663,560,138
The Realms of the Gods,['Tamora Pierce'],(The Immortals #4),Simon Pulse,1996,"['Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Fiction', 'Childrens']","[766, 277, 106, 91, 85]",['No awards'],4.32,51677,940,27207,15527,7336,1282,325
Mary Stewart's Merlin Trilogy,['Mary  Stewart'],(Arthurian Saga #1-3),Harper Voyager,1978,"['Fantasy', 'Fiction', 'Historical-Historical Fiction', 'Mythology-Arthurian', 'Science Fiction Fantasy', 'Fantasy-Mythology', 'Historical', 'Classics', 'Adventure', 'Fantasy-Magic']","[280, 62, 55, 55, 15, 14, 12, 11, 7, 7]",['No awards'],4.39,4472,201,2426,1478,470,74,24
Midnight Thief,['Livia Blackburne'],(Midnight Thief #1),Disney-Hyperion,2014,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy-High Fantasy']","[808, 396, 133, 88]",['Missouri Truman Readers Award Nominee (2017)'],3.73,9398,957,2374,3323,2689,767,245
Shadowheart,['Tad Williams'],(Shadowmarch #4),DAW Hardcover,2010,"['Fantasy', 'Fiction', 'Fantasy-Epic Fantasy']","[552, 47, 34]",['No awards'],4.01,5251,239,1670,2232,1099,215,35
